"type_logement" "annee_construction" "surface_habitable" "type_energie_chauffage" "conso_energie" "classe_conso_energie" "emission_ges"
1 1951 75 1 109.52 "D" 25.63
2 1999 92 1 114 "C" 18
1 1947 38 2 216 "B" 7
2 2007 70 2 168.84 "B" 6.87
1 2005 65 2 148.87 "A" 5.22
2 2019 80 1 97.6 "C" 14.19
2 1974 109 2 511.63 "D" 32.04
2 1947 150 2 220.81 "B" 7.18
1 1989 25 2 244 "B" 9
1 2001 63 2 155.31 "B" 6.37
2 2001 74 1 158 "E" 37
1 1971 17 2 464.7 "D" 22.7
1 1989 68 1 165 "E" 38
2 2001 119 1 153 "D" 35
1 2018 61 1 42.45 "B" 9.93
1 1967 42 2 225 "B" 9
1 1989 48 2 241 "B" 10
1 1989 20 1 224 "E" 52
2 1974 86 2 301.99 "C" 16.95
1 1999 31 2 148 "B" 6
2 1985 89 1 192.6 "E" 44.31
1 2014 85 1 42.14 "B" 9.86
1 2018 23 2 76.04 "B" 9.5
1 1993 22 2 264.68 "C" 11.32
1 1989 30 2 313 "C" 17
1 2017 48 2 50.13 "C" 11.73
1 2018 82 1 55.01 "C" 12.7
1 1947 20 1 255 "D" 22
2 1947 180 1 92 "D" 21
1 1989 63 2 164 "B" 8
1 1983 30 2 265 "C" 14
1 2014 60 1 42.78 "C" 11.45
1 1945 53 1 139.48 "D" 32.64
1 1948 73 1 157 "E" 36
1 2003 35 2 170 "B" 7
2 2006 60 2 230.18 "C" 11.21
1 2013 20 2 189.5 "B" 6.17
1 1965 35 1 301.77 "F" 70.61
2 2005 132 2 128.75 "A" 5.22
1 1988 33 2 229 "C" 11
2 1977 166 2 296.6 "C" 14.96
2 1995 81 2 284 "C" 14
2 1965 85 2 226.85 "B" 10.94
1 1948 39 1 306 "F" 71
1 1948 36 2 345.62 "C" 11.25
1 2017 41 2 39.04 "B" 8.58
2 1900 129 2 102 "A" 3
1 1974 84 1 145.1 "D" 33.95
1 2006 53 2 171 "B" 8
1 2010 110 2 171.44 "B" 7.88
2 1994 214 3 109.33 "C" 20.49
1 1948 77 1 161 "E" 37
2 2006 164 1 101.16 "D" 23.67
2 2001 83 1 123 "D" 28
2 1973 73 1 163.78 "F" 62.42
1 2017 46 2 42.75 "B" 10
2 1990 157 2 93.12 "C" 16.88
1 1978 63 1 226 "E" 52
1 1975 43 1 152 "D" 35
1 2018 46 1 48.24 "C" 11.29
1 2018 40 1 64.06 "C" 14.99
2 1948 110 1 285 "F" 66
1 2000 68 2 171 "B" 8
1 1948 83 2 182.85 "A" 5.95
1 1988 26 2 154.56 "B" 6.45
2 2014 118 2 45.87 "A" 2.55
1 1948 64 1 161 "E" 37
2 2007 81 2 213 "B" 9
2 2018 95 2 49.1 "A" 2.05
2 1948 66 1 212 "E" 49
1 2016 69 1 43.25 "B" 10.12
1 2008 71 2 172 "B" 8
2 1978 80 2 271.38 "C" 14.59
2 1947 135 1 185 "E" 43
2 1998 154 2 138.8 "D" 22.08
2 1960 90 3 379.97 "G" 93.75
1 2006 41 2 126 "A" 4
1 1988 48 2 423 "D" 23
1 1994 68 2 154.4 "B" 6.02
1 1965 36 1 171.72 "E" 40.18
1 2000 35 2 294.22 "C" 13.8
2 1978 164 1 229.01 "F" 68.7
1 1947 36 2 139 "A" 4
1 1989 66 2 247 "C" 12
1 1991 32 2 213.77 "B" 7.97
2 2002 78 1 152.91 "E" 35.78
1 2017 20 2 203.99 "B" 6.64
1 2006 66 2 135 "A" 4
2 1987 79 2 223.58 "B" 10.83
2 1980 130 1 157.48 "E" 36.85
1 2016 46 2 95.92 "A" 3.43
1 1987 42 2 276.39 "C" 13.65
1 2016 38 1 43.08 "B" 10.08
1 1989 38 2 222 "B" 8
2 1947 152 2 221 "B" 7
2 1900 90 1 115.72 "D" 27.08
1 2014 49 1 41.63 "B" 9.74
1 1970 57 1 171 "E" 40
2 1980 90 1 344.65 "F" 64.51
2 2004 146 1 134.14 "D" 22.52
1 1900 41 1 210 "E" 49
2 1900 130 1 222.18 "E" 37.71
2 2000 142 2 162 "B" 8
1 1994 50 2 163.95 "A" 5.44
1 1900 31 1 164 "E" 38
1 1948 43 1 242 "F" 56
1 1970 35 2 308 "C" 16
1 1974 29 1 70.71 "C" 16.54
1 2020 56 1 39.45 "B" 9.91
1 2005 66 2 292 "C" 15
1 1948 53 1 227 "E" 53
2 1948 70 1 326 "F" 76
2 1948 114 3 380 "G" 114
1 1948 20 1 294 "F" 68.8
2 2000 130 2 206.41 "B" 8.21
2 2006 78 1 109 "D" 26
2 1960 62 1 259.74 "E" 40.09
1 2000 49 2 229 "B" 10
1 2004 67 2 159 "B" 7
1 1989 47 2 189 "B" 7
1 1947 27 2 269 "B" 8
1 2016 57 2 63.9 "A" 3.73
2 1948 107 1 169 "E" 39
1 1989 69 2 210 "C" 11
1 1990 49 2 221.63 "B" 10.26
2 1948 100 2 130 "B" 6
1 1962 56 1 198 "E" 46
2 1984 66 2 184.28 "B" 7.53
1 1978 28 1 293 "F" 68
2 1977 91 2 282.82 "C" 11.47
2 1970 180 2 229.83 "A" 5.33
1 2017 68 1 50.91 "C" 11.91
1 2018 20 2 95.46 "A" 3.9
2 1989 129 1 105 "D" 23
1 1970 35 2 240.5 "B" 10.04
1 1998 77 1 256.87 "F" 58.31
1 2018 64 1 62.9 "C" 14.72
1 2015 39 1 49.07 "C" 11.48
2 1992 81 2 222.9 "B" 10.89
2 1960 69 1 318.8 "F" 74.59
1 1989 77 2 151 "B" 7
2 1991 107 2 228.16 "B" 10.05
1 2007 83 2 263.2 "C" 14.14
1 1973 67 1 261.79 "F" 61.26
2 1988 156 2 275 "C" 16
1 1999 45 2 155 "B" 6
2 2001 170 2 114 "C" 19
1 2019 61 1 44.2 "B" 10.34
1 2001 45 1 133 "D" 31
1 2015 38 2 69.61 "C" 16.29
2 1948 145 1 149 "D" 34
2 2016 168 2 51.79 "A" 2.52
2 1989 89 2 261 "C" 13
2 1983 182 2 212 "C" 11
1 2007 64 2 171 "B" 6
2 2018 79 1 33.41 "B" 9.63
1 1960 18 1 147.14 "D" 34.43
1 2004 47 2 197.19 "B" 8.03
1 2016 68 2 43.05 "B" 10.07
1 1989 55 1 101 "D" 23
2 2005 153 2 60.41 "A" 2.55
2 2007 66 2 266.01 "C" 13.42
2 2012 104 2 196.62 "B" 8.42
2 1947 165 3 128 "D" 27
1 1970 46 1 377 "G" 88
1 1948 61 2 208 "C" 11
1 2016 39 1 42.45 "B" 9.93
2 2002 140 2 134.87 "A" 5.7
2 1947 146 2 270 "B" 8
1 1959 77 1 136.87 "D" 32.03
1 1960 55 3 143.42 "E" 43.03
1 1970 22 1 171.23 "E" 40.07
1 1994 29 2 293 "C" 13
1 2017 39 1 78.19 "C" 18.3
1 1948 87 2 199 "B" 9
1 1974 88 2 107.19 "D" 25.08
1 1972 66 1 135.93 "D" 31.81
1 2014 29 1 40.7 "B" 9.52
1 1989 47 2 296 "C" 14
2 1975 83 1 278.47 "F" 65.16
1 2002 29 2 273.79 "C" 11.21
1 1947 17 2 313 "B" 10
1 2018 41 2 48.84 "C" 11.43
2 1991 70 2 148.69 "A" 5.13
1 1990 32 2 241.87 "B" 9.33
2 2001 187 2 127 "B" 7
1 1991 21 2 313.78 "C" 13.64
1 2013 20 2 190.34 "B" 6.2
1 1947 96 2 274.38 "B" 8.93
2 2014 74 2 55.04 "A" 2.14
2 2019 68 2 225.29 "B" 10.45
1 2016 39 1 47.93 "C" 11.22
1 2001 43 2 182 "B" 8
2 2013 1305 1 40.69 "B" 9.52
1 2006 59 2 161 "B" 7
2 1983 90 2 313 "C" 17
1 2000 43 2 195 "B" 7
2 1989 86 2 228 "C" 11
1 2013 146 2 125.63 "A" 5.07
2 1971 127 1 181 "E" 42
1 1978 67 2 219 "B" 10
2 1989 158 1 147 "D" 34
1 1975 88 2 260 "C" 14
1 1983 47 2 230 "B" 10
2 1948 90 1 294 "F" 68
1 2019 66 2 51.44 "C" 12.04
1 1950 23 1 414.39 "G" 96.97
1 1947 22 1 215.21 "E" 39.32
1 1948 54 2 307 "D" 30
1 1993 22 2 166.13 "B" 7.26
2 2016 86 2 48.94 "A" 2.32
1 1948 54 1 314 "F" 73
1 1948 33 1 426 "G" 99
2 1982 119 2 163 "B" 6
2 2002 125 2 150.97 "B" 6.81
2 1960 69 1 281.49 "F" 65.86
1 1999 43 2 218 "C" 11
1 2006 57 2 162 "B" 7
2 1953 241 1 265 "E" 54
2 1993 85 2 191 "B" 10
1 1990 44 2 182.93 "B" 6.57
1 2006 65 2 164.85 "B" 6.04
1 1948 74 2 106 "A" 4
1 2016 77 1 47.61 "C" 11.14
2 1988 198 1 128.96 "D" 21.02
1 1948 60 2 292 "C" 20
1 1989 81 1 118 "D" 27
2 2012 180 2 75 "A" 2
1 1948 35 1 228 "E" 53
2 1960 87 1 281.6 "F" 65.9
1 2013 20 2 189.07 "B" 6.16
1 1948 41 2 288 "C" 13
2 1947 72 2 549 "C" 18
2 2018 109 2 44.92 "A" 2.12
2 1987 104 2 222 "C" 11
2 2005 59 2 95.1 "A" 4.11
2 2006 140 1 91.45 "C" 20.45
1 1960 68 1 170.76 "E" 39.96
2 1993 124 2 190 "A" 5
1 1969 73 1 144.08 "D" 33.72
1 1990 50 1 180.68 "E" 42.28
1 2018 20 2 53.16 "A" 2.32
2 1948 205 2 102 "C" 11
2 2005 83 2 107.18 "A" 5.58
1 2019 78 1 75.42 "C" 17.33
1 2019 60 1 58.76 "C" 13.75
1 2018 62 1 52.01 "C" 12.17
2 1967 58 1 352.35 "G" 96.54
2 1985 184 1 296 "F" 69
2 1979 150 2 122.08 "A" 3.16
1 1948 78 1 140 "D" 32
1 2001 44 2 138 "A" 3
1 2014 58 1 64.59 "C" 15.11
1 1948 77 1 181 "E" 42
1 1993 68 2 234.69 "C" 11.32
1 2019 76 1 37.7 "B" 10.82
2 1984 96 2 111 "A" 3
1 2015 43 1 38.64 "B" 9.04
1 2000 30 2 402.61 "C" 20.86
1 1960 67 1 214.29 "E" 50.14
2 1989 96 2 275 "C" 15
1 1974 68 1 117.78 "D" 27.56
2 2006 112 1 107 "D" 25
1 2018 47 1 63.57 "C" 14.88
2 2001 139 2 175.33 "B" 6.98
2 2015 82 1 45.11 "B" 10.55
2 1996 92 2 253 "C" 13
1 1974 76 1 190.79 "D" 27.32
2 1983 138 2 117 "D" 23
1 1989 47 2 136 "A" 5
1 2010 19 2 241.34 "B" 7.26
1 1947 63 2 350 "C" 11
1 2018 29 2 121.43 "B" 10.97
2 1975 152 2 254 "B" 6
2 2006 65 2 179.71 "B" 7.56
1 1969 69 1 165.99 "E" 38.84
1 2013 56 1 42.77 "B" 10.01
1 2014 61 1 43.65 "B" 10.22
2 2011 88 2 228.19 "C" 11.51
2 1948 136 3 310 "F" 77
2 1948 112 1 229 "E" 40
1 2017 39 2 48.5 "C" 11.02
1 1989 75 1 110.45 "D" 25.84
