"type_logement" "annee_construction" "surface_habitable" "type_energie_chauffage" "conso_energie" "classe_conso_energie" "emission_ges"
2 2010 200 2 107 "A" 3
1 1948 120 1 174 "E" 40
1 2019 70 1 49.52 "C" 11.59
2 2000 88 2 158 "B" 7
1 2016 62 1 50.3 "C" 11.77
1 2016 84 1 59.07 "C" 13.82
1 2000 25 2 277 "C" 13
2 2006 93 2 218 "B" 10
2 2012 123 2 127.3 "A" 4.56
2 1983 173 2 190 "B" 10
1 1970 44 1 413 "G" 96
2 1948 95 1 165 "E" 38
2 1948 86 3 320 "F" 75
1 2019 66 1 53.91 "C" 12.61
1 2004 29 2 258 "C" 11
1 1947 23 2 395.01 "C" 12.86
2 1985 116 1 128 "D" 30
1 1989 29 2 276 "C" 11
2 1970 130 1 230 "E" 54
2 1947 76 1 126 "D" 29
2 1981 95 1 204.42 "E" 40.75
2 1987 144 2 372.89 "D" 23.21
1 1978 62 2 190 "B" 8
1 1947 74 2 223 "B" 7
1 1989 50 2 192 "B" 7
1 1957 68 1 225.36 "E" 52.73
1 2018 27 1 54.56 "B" 10.69
1 1978 66 1 224.14 "E" 52.45
2 1991 111 2 281 "C" 15
1 2006 20 2 173.08 "B" 7.76
2 1948 89 2 260 "C" 15
2 1974 132 3 220.84 "F" 66.25
2 2011 115 2 114.98 "A" 3.64
2 1947 73 2 223.01 "B" 7.26
1 2016 85 2 43.28 "C" 12.04
2 2001 144 1 113.27 "D" 26.51
1 2000 81 1 78 "C" 18
1 1998 72 2 168.24 "B" 6.68
2 2018 81 1 42.58 "C" 11.68
1 2018 18 2 96.54 "A" 4.07
2 1900 394 1 85.13 "C" 19.92
1 1900 56 2 221.52 "B" 7.21
2 1986 163 2 176.13 "B" 9.62
2 1947 128 2 387 "C" 12
1 2000 36 2 183 "B" 8
2 2019 104 1 48.31 "C" 14.2
1 2005 46 2 152.67 "A" 4.86
1 2019 40 2 65.82 "C" 15.4
2 1974 105 3 345 "G" 104
1 2015 53 1 34.97 "B" 8.18
1 1996 46 2 267.11 "C" 12.86
1 2019 67 1 60.14 "C" 14.07
2 2006 159 2 171.33 "B" 8.21
1 2017 60 1 61.1 "C" 14.3
1 2017 19 2 213.27 "B" 6.94
1 1998 48 2 174 "B" 6
1 2001 59 2 212 "B" 9
1 1989 71 1 110 "D" 25
1 2006 34 2 166 "B" 7
1 2015 61 2 29.02 "B" 6.79
2 1947 86 1 53 "C" 12
2 1978 110 2 145 "D" 32
1 2006 56 2 201 "B" 8
1 1980 93 1 230.49 "E" 53.93
2 2016 81 1 45.45 "C" 11.32
2 1948 96 1 234 "E" 54
1 2007 41 2 175 "B" 8
1 1991 43 2 327 "C" 16
1 2019 41 1 50.78 "C" 11.88
1 2017 66 1 62.73 "C" 14.68
1 2015 41 1 30.01 "B" 7.02
